Year,Month,Location,Latitude,Longitude,Site,Zone,Level,ID,Transect,GenusSpecies,TotalLength,Abundance
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Semicossyphus pulcher,25,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Alloclinus holderi,15,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Chromis punctipinnis,10,7
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Embiotoca jacksoni,20,6
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Embiotoca jacksoni,25,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Embiotoca lateralis,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Hypsypops rubicundus,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Oxyjulis californica,5,82
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Oxyjulis californica,15,2
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Paralabrax clathratus,15,6
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Paralabrax clathratus,45,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Sebastes carnatus,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Semicossyphus pulcher,15,7
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Semicossyphus pulcher,30,3
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Semicossyphus pulcher,35,2
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Semicossyphus pulcher,45,3
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Semicossyphus pulcher,95,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF3,3,Zapteryx exasperata,100,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM1,1,Oxyjulis californica,5,10
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM1,1,Oxyjulis californica,15,103
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM1,1,Paralabrax clathratus,35,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM2,2,Oxyjulis californica,15,20
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM2,2,Sebastes atrovirens,30,2
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM3,3,Chromis punctipinnis,10,6
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM3,3,Chromis punctipinnis,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM3,3,Oxyjulis californica,15,17
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM3,3,Paralabrax clathratus,40,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM3,3,Sebastes atrovirens,30,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF1,1,Paralabrax clathratus,55,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF1,1,Semicossyphus pulcher,60,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Chromis punctipinnis,10,25
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Embiotoca jacksoni,25,2
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Hypsypops rubicundus,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Oxyjulis californica,15,2
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Paralabrax clathratus,45,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Sebastes auriculatus,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Semicossyphus pulcher,50,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF2,2,Semicossyphus pulcher,55,2
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Chromis punctipinnis,5,200
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Chromis punctipinnis,15,400
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Embiotoca jacksoni,25,2
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Halichoeres semicinctus,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Hypsypops rubicundus,15,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Hypsypops rubicundus,20,3
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Hypsypops rubicundus,25,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Oxyjulis californica,20,8
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Paralabrax clathratus,50,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Rhacochilus vacca,20,2
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Sebastes auriculatus,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF3,3,Semicossyphus pulcher,55,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM1,1,Especie X,0,0
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM2,2,Chromis punctipinnis,15,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM2,2,Oxyjulis californica,15,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM3,3,Chromis punctipinnis,15,70
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM3,3,Chromis punctipinnis,20,5
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM3,3,Rhacochilus toxotes,30,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF0,0,Atherinops affinis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF0,0,Brachyistius frenatus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF0,0,Clinocottus analis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF0,0,Medialuna californiensis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF0,0,Rhacochilus vacca,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF0,0,Scorpaena guttata,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF0,0,Sebastes caurinus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Atherinops affinis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Caulolatilus princeps,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Clinocottus analis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Embiotoca jacksoni,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Embiotoca lateralis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Girella nigricans,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Hypsypops rubicundus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Medialuna californiensis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Oxylebius pictus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Rhacochilus vacca,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Scorpaena mystes,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Sebastes carnatus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Sebastes caurinus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Semicossyphus pulcher,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Media agua,ASANM0,0,Zapteryx exasperata,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF0,0,Atherinops affinis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF0,0,Embiotoca lateralis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF0,0,Rhacochilus toxotes,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Fondo,ASASF0,0,Sebastes atrovirens,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM0,0,Atherinops affinis,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM0,0,Embiotoca jacksoni,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM0,0,Hypsypops rubicundus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM0,0,Paralabrax clathratus,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM0,0,Rhacochilus vacca,NA,1
2013,Noviembre,ASA,29.732111,-115.775556,Sur,NA,Media agua,ASASM0,0,Semicossyphus pulcher,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Chromis punctipinnis,5,15
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Embiotoca jacksoni,10,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Embiotoca jacksoni,20,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Embiotoca jacksoni,25,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Oxyjulis californica,10,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Oxylebius pictus,15,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Paralabrax clathratus,15,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Paralabrax clathratus,25,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Paralabrax nebulifer,25,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Paralabrax nebulifer,30,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Rhacochilus vacca,20,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Rhinogobiops nicholsii,10,6
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Sebastes atrovirens,20,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Semicossyphus pulcher,15,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Semicossyphus pulcher,20,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF1,1,Semicossyphus pulcher,40,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Chromis punctipinnis,20,5
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Embiotoca jacksoni,10,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Embiotoca jacksoni,20,7
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Hypsypops rubicundus,15,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Hypsypops rubicundus,20,3
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Oxyjulis californica,10,15
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Oxyjulis californica,15,3
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Oxylebius pictus,15,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Rhacochilus vacca,20,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Rhacochilus vacca,25,5
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Rhinogobiops nicholsii,10,5
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Sebastes atrovirens,20,10
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Sebastes auriculatus,20,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Sebastes caurinus,15,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Sebastes serranoides,20,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Semicossyphus pulcher,20,3
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF2,2,Semicossyphus pulcher,50,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Chromis punctipinnis,10,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Girella nigricans,20,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Medialuna californiensis,20,5
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Oxyjulis californica,5,200
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Oxyjulis californica,15,5
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Oxylebius pictus,10,4
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Oxylebius pictus,15,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Rhacochilus toxotes,25,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Rhacochilus vacca,10,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Rhinogobiops nicholsii,10,8
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Sebastes atrovirens,20,5
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Sebastes serranoides,20,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Semicossyphus pulcher,15,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Semicossyphus pulcher,20,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Semicossyphus pulcher,25,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF3,3,Semicossyphus pulcher,80,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM1,1,Oxyjulis californica,15,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM1,1,Sebastes serranoides,25,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM2,2,Oxyjulis californica,5,200
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM2,2,Oxyjulis californica,15,8
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM2,2,Sebastes atrovirens,25,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM2,2,Sebastes serranoides,25,3
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM3,3,Brachyistius frenatus,10,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM3,3,Oxyjulis californica,5,300
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM3,3,Oxyjulis californica,15,8
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM3,3,Sebastes serranoides,25,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Chromis punctipinnis,5,10
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Chromis punctipinnis,10,4
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Chromis punctipinnis,15,7
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Embiotoca jacksoni,25,2
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Hypsurus caryi,10,7
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Oxyjulis californica,5,4
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Oxyjulis californica,15,20
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Rhinogobiops nicholsii,15,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Sebastes atrovirens,25,3
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Sebastes atrovirens,30,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Sebastes serranoides,15,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Sebastes serranoides,25,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Sebastes serranoides,30,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Semicossyphus pulcher,25,3
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF1,1,Semicossyphus pulcher,30,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Chromis punctipinnis,5,7
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Chromis punctipinnis,10,44
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Hypsurus caryi,15,6
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Hypsypops rubicundus,30,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Ophiodon elongatus,90,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Oxyjulis californica,15,23
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Rhacochilus vacca,20,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Rhinogobiops nicholsii,15,2
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Sebastes atrovirens,25,4
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Sebastes carnatus,25,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Sebastes serranoides,25,2
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Sebastes serranoides,30,7
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Semicossyphus pulcher,15,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Semicossyphus pulcher,20,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Semicossyphus pulcher,25,3
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Semicossyphus pulcher,30,2
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF2,2,Semicossyphus pulcher,35,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF3,3,Chromis punctipinnis,5,10
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF3,3,Chromis punctipinnis,10,2
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF3,3,Hypsurus caryi,15,5
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF3,3,Oxyjulis californica,5,20
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF3,3,Oxyjulis californica,15,26
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF3,3,Paralabrax nebulifer,35,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Fondo,BMASF3,3,Rhacochilus vacca,20,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM1,1,Oxyjulis californica,15,8
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM1,1,Sebastes atrovirens,20,3
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM1,1,Sebastes atrovirens,35,3
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM1,1,Sebastes serranoides,10,2
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM1,1,Sebastes serranoides,20,1
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM2,2,Sebastes atrovirens,25,4
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM2,2,Sebastes atrovirens,30,2
2013,Octubre,BMA,32.01675,-116.883056,Sur,NA,Media agua,BMASM2,2,Sebastes serranoides,20,2
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF0,0,Brachyistius frenatus,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF0,0,Hypsurus caryi,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Fondo,BMANF0,0,Sebastes carnatus,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM0,0,Chromis punctipinnis,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM0,0,Embiotoca jacksoni,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM0,0,Hypsurus caryi,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM0,0,Hypsypops rubicundus,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM0,0,Medialuna californiensis,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM0,0,Oxylebius pictus,NA,1
2013,Octubre,BMA,32.01675,-116.883056,Norte,NA,Media agua,BMANM0,0,Paralabrax clathratus,NA,1
